Prezzi_Originali_puliti,,,,,,,,
,Reference,Collection,Description,Price,Complication,inventory,Detail,Size
,116234,Datejust,Standard Dial Jubilee Bracelet,7380.0,"Date, Stop Seconds",0,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
,116234,Datejust,Standard Dial Oyster Bracelet,7320.0,"Date, Stop Seconds",0,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
,116234,Datejust,Diamond 6 & 9 Dial Jubilee Bracelet,9720.0,"Date, Stop Seconds",0,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
,116234,Datejust,Diamond Dial Oyster Bracelet,9180.0,"Date, Stop Seconds",0,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
,116234,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,11760.0,"Date, Stop Seconds",2,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
,116234,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,11820.0,"Date, Stop Seconds",0,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
,116234,Datejust,Diamond 6 & 9 Dial Oyster Bracelet,9660.0,"Date, Stop Seconds",0,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
,116244,Datejust,Diamond Dial Jubilee Bracelet,15540.0,"Date, Stop Seconds",0,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,116244,Datejust,Standard Dial Jubilee Bracelet,13680.0,"Date, Stop Seconds",0,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,116244,Datejust,Standard Dial Oyster Bracelet,13620.0,"Date, Stop Seconds",0,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,116244,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,18120.0,"Date, Stop Seconds",1,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,116244,Datejust,Diamond Dial Oyster Bracelet,15480.0,"Date, Stop Seconds",2,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,116244,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,18060.0,"Date, Stop Seconds",0,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,116244,Datejust,Diamond 6 & 9 Dial Jubilee Bracelet,16020.0,"Date, Stop Seconds",0,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,116244,Datejust,Diamond 6 & 9 Dial Oyster Bracelet,15960.0,"Date, Stop Seconds",0,"The Rolex Datejust 116244 comes with a 36mm stainless steel case, white gold bezel set with diamonds, and various dial options. It is known for its luxurious touch and sophisticated design.",36
,126200,Datejust,Standard Dial Oyster Bracelet,6780.0,"Date, Stop Seconds",0,"The Rolex Datejust 126200 features a 36mm stainless steel case, smooth bezel, and Oyster bracelet. Known for its classic design and reliable performance, it offers various dial options.",36
,126200,Datejust,Standard Dial Jubilee Bracelet,6960.0,"Date, Stop Seconds",0,"The Rolex Datejust 126200 features a 36mm stainless steel case, smooth bezel, and Oyster bracelet. Known for its classic design and reliable performance, it offers various dial options.",36
,126201,Datejust,Standard Dial Oyster Bracelet,10800.0,"Date, Stop Seconds",0,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126201,Datejust,Standard Dial Jubilee Bracelet,11400.0,"Date, Stop Seconds",0,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126201,Datejust,Diamond Dial Oyster Bracelet,12720.0,"Date, Stop Seconds",0,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126201,Datejust,Diamond Dial Jubilee Bracelet,13320.0,"Date, Stop Seconds",1,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126201,Datejust,Diamond VI IX Dial Oyster Bracelet,13200.0,"Date, Stop Seconds",0,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126201,Datejust,Diamond VI IX Dial Jubilee Bracelet,13800.0,"Date, Stop Seconds",0,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126201,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,15420.0,"Date, Stop Seconds",0,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126201,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,16020.0,"Date, Stop Seconds",0,"The Rolex Datejust 126201 has a 36mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It combines modern luxury with timeless elegance.",36
,126203,Datejust,Standard Dial Oyster Bracelet,10500.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126203,Datejust,Standard Dial Jubilee Bracelet,11100.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126203,Datejust,Diamond Dial Oyster Bracelet,12420.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126203,Datejust,Diamond Dial Jubilee Bracelet,13020.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126203,Datejust,Diamond VI IX Dial Oyster Bracelet,12900.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126203,Datejust,Diamond VI IX Dial Jubilee Bracelet,13500.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126203,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,15120.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126203,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,15720.0,Date,0,"The Rolex Datejust 126203 includes a 36mm stainless steel and yellow gold case, smooth bezel, and Oyster bracelet. It offers a blend of sophistication and functionality.",36
,126231,Datejust,Standard Dial Oyster Bracelet,10920.0,Date,1,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126231,Datejust,Standard Dial Jubilee Bracelet,11520.0,Date,0,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126231,Datejust,Diamond Dial Oyster Bracelet,12840.0,Date,1,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126231,Datejust,Diamond Dial Jubilee Bracelet,13440.0,Date,0,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126231,Datejust,Diamond VI IX Dial Oyster Bracelet,13320.0,Date,0,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126231,Datejust,Diamond VI IX Dial Jubilee Bracelet,13920.0,Date,0,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126231,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,15540.0,Date,2,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126231,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,16140.0,Date,3,"The Rolex Datejust 126231 features a 36mm stainless steel and Everose gold case, fluted bezel, and Jubilee bracelet. It is celebrated for its elegant and versatile design.",36
,126233,Datejust,Standard Dial Oyster Bracelet,10620.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126233,Datejust,Standard Dial Jubilee Bracelet,11220.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126233,Datejust,Diamond Dial Oyster Bracelet,12540.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126233,Datejust,Diamond Dial Jubilee Bracelet,13140.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126233,Datejust,Diamond VI IX Dial Oyster Bracelet,13020.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126233,Datejust,Diamond VI IX Dial Jubilee Bracelet,13620.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126233,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,15240.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126233,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,15840.0,Date,0,"The Rolex Datejust 126233 has a 36mm stainless steel and yellow gold case, fluted bezel, and Jubilee bracelet. Known for its classic appeal and luxurious details.",36
,126234,Datejust,Standard Dial Oyster Bracelet,7980.0,"Date, Stop Seconds",1,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126234,Datejust,Standard Dial Jubilee Bracelet,8160.0,"Date, Stop Seconds",1,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126234,Datejust,Diamond Dial Oyster Bracelet,9900.0,"Date, Stop Seconds",2,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126234,Datejust,Diamond Dial Jubilee Bracelet,10080.0,"Date, Stop Seconds",0,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126234,Datejust,Diamond VI IX Dial Oyster Bracelet,10380.0,"Date, Stop Seconds",1,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126234,Datejust,Diamond VI IX Dial Jubilee Bracelet,10560.0,"Date, Stop Seconds",0,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126234,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,12600.0,"Date, Stop Seconds",2,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126234,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,12780.0,"Date, Stop Seconds",0,"The Rolex Datejust 126234 includes a 36mm stainless steel case, white gold fluted bezel, and Jubilee bracelet. It is a timeless model offering various dial choices.",36
,126281RBR,Datejust,Standard Dial Oyster Bracelet,17520.0,Date,0,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126281RBR,Datejust,Standard Dial Jubilee Bracelet,18120.0,Date,0,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126281RBR,Datejust,Diamond Dial Oyster Bracelet,19440.0,Date,1,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126281RBR,Datejust,Diamond Dial Jubilee Bracelet,20040.0,Date,1,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126281RBR,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,22140.0,Date,3,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126281RBR,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,22740.0,Date,0,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126281RBR,Datejust,Diamond VI IX Dial Oyster Bracelet,19920.0,Date,0,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126281RBR,Datejust,Diamond VI IX Dial Jubilee Bracelet,20520.0,Date,1,"The Rolex Datejust 126281RBR features a 36mm stainless steel and Everose gold case, diamond-set bezel, and Jubilee bracelet. It is known for its luxurious and elegant design.",36
,126283RBR,Datejust,Standard Dial Oyster Bracelet,17280.0,Date,0,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126283RBR,Datejust,Standard Dial Jubilee Bracelet,17880.0,Date,0,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126283RBR,Datejust,Diamond Dial Oyster Bracelet,19200.0,Date,0,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126283RBR,Datejust,Diamond Dial Jubilee Bracelet,19800.0,Date,0,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126283RBR,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,21900.0,Date,1,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126283RBR,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,22500.0,Date,0,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126283RBR,Datejust,Diamond VI IX Dial Oyster Bracelet,19680.0,Date,0,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126283RBR,Datejust,Diamond VI IX Dial Jubilee Bracelet,20280.0,Date,0,"The Rolex Datejust 126283RBR includes a 36mm stainless steel and yellow gold case, diamond-set bezel, and Jubilee bracelet. It combines elegance with a touch of luxury.",36
,126284RBR,Datejust,Standard Dial Oyster Bracelet,14700.0,Date,2,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126284RBR,Datejust,Standard Dial Jubilee Bracelet,14880.0,Date,0,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126284RBR,Datejust,Diamond Dial Oyster Bracelet,16620.0,Date,1,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126284RBR,Datejust,Diamond Dial Jubilee Bracelet,16800.0,Date,1,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126284RBR,Datejust,Mother of Pearl Diamond Dial Oyster Bracelet,19320.0,Date,0,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126284RBR,Datejust,Mother of Pearl Diamond Dial Jubilee Bracelet,19500.0,Date,0,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126284RBR,Datejust,Diamond VI IX Dial Oyster Bracelet,17100.0,Date,0,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126284RBR,Datejust,Diamond VI IX Dial Jubilee Bracelet,17280.0,Date,0,"The Rolex Datejust 126284RBR has a 36mm stainless steel case, diamond-set bezel, and Jubilee bracelet. It offers a sophisticated look with luxurious details.",36
,126300,Datejust,Standard Dial Oyster Bracelet,7380.0,Date,1,"The Rolex Datejust 41 126300 has a 41mm stainless steel case, smooth bezel, and Oyster bracelet. Known for its elegant design and reliability, it is a favorite among enthusiasts.",41
,126300,Datejust,Standard Dial Jubilee Bracelet,7560.0,Date,0,"The Rolex Datejust 41 126300 has a 41mm stainless steel case, smooth bezel, and Oyster bracelet. Known for its elegant design and reliability, it is a favorite among enthusiasts.",41
,126301,Datejust,Standard Dial Oyster Bracelet,12300.0,"Date, Stop Seconds",1,"The Rolex Datejust 41 126301 features a 41mm stainless steel and Everose gold case, smooth bezel, and Oyster bracelet. It is known for its modern and elegant design.",41
